!起始函號	!大正藏	!永樂北	!永樂北函	!乾隆	!乾隆函	!經名	!作譯者	!卷數
	2101					補陀洛迦山傳	元 盛熙明述	1
						補續高僧傳	明 明河撰	26
						定應大師布袋和尚傳	曇噩撰	2
	0705	0804	(則)	0805	(則)	佛說布施經	宋 法賢譯	1
	2033	1277	(席)	1278	(席)	部執異論	天友菩薩造　陳 真諦譯	1
	0645	0128	(被)	0128	(被)	不必定入定入印經	元魏 瞿曇般若流支譯	1
	1202	1418	(鍾)	1419	(鍾)	不動使者陀羅尼祕密法	唐 金剛智譯	1
						不會禪師語錄		
	1002	0996	(斯)	0997	(斯)	不空[罩-卓+絹]索毘盧遮那佛大灌頂光真言	唐 不空譯	1
	1092	0312	(必改得)	0313	(必改得)	不空[罩-卓+絹]索神變真言經	唐 菩提流志譯	30
	1094	0311	(過)	0312	(過)	不空[罩-卓+絹]索神咒心經	唐 玄奘譯	1
	1096	0309	(過)	0310	(過)	不空[罩-卓+絹]索陀羅尼經	唐 李無諂譯	1
	1098					佛說不空[罩-卓+絹]索陀羅尼儀軌經	唐 阿目佉譯	2
	1097	0308	(過)	0309	(過)	不空[罩-卓+絹]索陀羅尼自在王咒經	唐 寶思惟譯	3
	1093	0307	(過)	0308	(過)	不空[罩-卓+絹]索咒經	隋 闍那崛多譯	1
	1095	0310	(過)	0311	(過)	不空[罩-卓+絹]索咒心經	唐 菩提流志譯	1
	2056					大唐故大德贈司空大辨正廣智不空三藏行狀	唐 趙遷撰	1
						不可剎那無此君	宋 義銛述	1
						不磷禪師語錄	宋 義述	
	0445	0407	(信)	0408	(信)	佛說不思議功德諸佛所護念經	失譯	2
	0484	0391	(短)	0392	(短)	不思議光菩薩所說經	後秦 鳩摩羅什譯	1
	0843	0930	(薄)	0931	(薄)	佛說大乘不思議神通境界經	宋 施護譯	3
	0267	0153	(發)	0153	(發)	不退轉法輪經	失譯	4
						不厭樂禪師語錄		1
	0668	0519	(維)	0520	(維)	佛說不增不減經	元魏 菩提流支譯	1
	0107	0650	(慶)	0651	(慶)	佛說不自守意經	吳 支謙譯	1
	0510	0268	(良)	0269	(良)	採花違王上佛授決號妙花經	東晉 竺曇無蘭譯	1
						(重編)曹洞五位顯訣	宋 慧霞編　廣輝釋	3
	1987B					撫州曹山本寂禪師語錄	日本 玄契編	2
	1987A					撫州曹山元證禪師語錄	日本 慧印校	1
						曹溪大師別傳		1
						曹源道生禪師語錄	(侍者) 道[冰-水+中] 編	1
						測海集節鈔	清 彭紹升著、弟子節鈔	1
	1909	1501	(公)	1466	(路)	慈悲道場懺法	梁 諸大法師集撰	10
	1910	1515	(輔)	1570	(馳)	慈悲水懺法	失譯撰人名	3
	1141					慈氏菩薩略修瑜伽念誦法	唐 善無畏譯	2
	1143	0884	(臨)	0885	(臨)	佛說慈氏菩薩誓願陀羅尼經	宋 法賢譯	1
	0710	0957	(興)	0958	(興)	慈氏菩薩所說大乘緣生稻[卄/幹]喻經	唐 不空譯	1
	1142	0909	(深)	0910	(深)	佛說慈氏菩薩陀羅尼	宋 法賢譯	1
						慈受懷深禪師廣錄	(侍者) 善清．善隨．宗先．普紹 編	4
						叢林公論	宋 惠彬述	1
						叢林校定清規總要	宋 惟勉編次	2
						叢林兩序須知	明 通容述	1
						叢林盛事	宋 道融撰	2
	0573	0456	(景)	0457	(景)	差摩婆帝授記經	元魏 菩提流支譯	1
						禪燈世譜	明 道忞編修　吳侗集	9
	0616	1334	(集)	1335	(集)	禪法要解	姚秦 鳩摩羅什譯	2
	2024					禪關策進	明 袾宏輯	1
						禪家龜鑑	朝鮮 退隱述	1
	2022	1630	(黍)	1586	(九)	禪林寶訓	宋 淨善重集	4
						禪林寶訓筆說	清 智祥述	3
						禪林寶訓合註	清 張文嘉較定　張文憲參閱	4
						禪林寶訓拈頌	清 行盛著　超記錄	1
						禪林寶訓順硃	清 德玉順硃	4
						禪林寶訓音義	明 大建較	1
						禪林寶訓注		1
						禪林備用清規	元 弋咸編	10
						禪林類聚	元 道泰集	20
						禪林僧寶傳	宋 惠洪撰	30
						南宋元明禪林僧寶傳	清 自融撰　性磊補輯	15
	2174B					禪林寺宗叡僧正目錄		1
						禪林疏語考證	明 元賢集	4
						禪門寶藏錄	高麗 天[正*頁]撰	3
						禪門鍛鍊說	明 戒顯著	1
	1919	1553				天台智者大師禪門口訣	隋 智顗說	1
						中華傳心地禪門師資承襲圖	唐 裴休問　宗密答	1
						禪門要略	隋 智顗出	1
						禪門章	隋 智顗說	1
						禪門諸祖師偈頌	宋 子昇錄　如祐錄	2
